model,level,rank_mean,rank_std,f1_mean,f1_std
transformer-Offline,attribute,1.0,0.0,0.08,0.0
transformer-Online,attribute,2.0,0.0,0.07,0.0
DAE-Online,attribute,3.0,0.0,0.03,0.0
DAE-Offline,attribute,4.0,0.0,0.03,0.0
transformer-Offline,combined,1.0,0.0,0.19,0.0
transformer-Online,combined,2.0,0.0,0.18,0.0
DAE-Online,combined,3.0,0.0,0.13,0.0
DAE-Offline,combined,4.0,0.0,0.13,0.0
transformer-Offline,event,1.0,0.0,0.13,0.0
transformer-Online,event,2.0,0.0,0.12,0.0
DAE-Online,event,3.0,0.0,0.08,0.0
DAE-Offline,event,4.0,0.0,0.08,0.0
transformer-Offline,trace,1.0,0.0,0.37,0.0
transformer-Online,trace,2.0,0.0,0.35,0.0
DAE-Offline,trace,3.0,0.0,0.28,0.0
DAE-Online,trace,4.0,0.0,0.27,0.0
