dataset_short_name,categorical_encoding,level,f1_mean,f1_std,f1_rank
gigantic/0.05,One Hot,attribute,0.017707488984659344,0.019720520436915655,1.0
gigantic/0.05,One Hot,event,0.03884400747898954,0.05469722999716616,2.0
gigantic/0.05,One Hot,trace,0.14364882203600918,0.17263748764396858,2.0
gigantic/0.05,Word2Vec Average Then Concatinate,attribute,0.01693342654332476,0.019486101578699195,2.0
gigantic/0.05,Word2Vec Average Then Concatinate,event,0.03901698247494283,0.05265558358328507,1.0
gigantic/0.05,Word2Vec Average Then Concatinate,trace,0.15597510815025728,0.20671121834790798,1.0
gigantic/0.1,One Hot,attribute,0.013614158973281618,0.010673712894760034,2.0
gigantic/0.1,One Hot,event,0.030388648415730173,0.03302127046431607,2.0
gigantic/0.1,One Hot,trace,0.14499226379883434,0.1368384977047408,2.0
gigantic/0.1,Word2Vec Average Then Concatinate,attribute,0.01790607076863095,0.009948248387127906,1.0
gigantic/0.1,Word2Vec Average Then Concatinate,event,0.033253498566620854,0.033004653441188046,1.0
gigantic/0.1,Word2Vec Average Then Concatinate,trace,0.14776399783038455,0.14110515114040817,1.0
gigantic/0.15,One Hot,attribute,0.019632656803480676,0.015387934267266656,2.0
gigantic/0.15,One Hot,event,0.03907553024557068,0.03774029496854084,2.0
gigantic/0.15,One Hot,trace,0.1820883744475829,0.1298607652395104,2.0
gigantic/0.15,Word2Vec Average Then Concatinate,attribute,0.02211274988208285,0.010036983045746163,1.0
gigantic/0.15,Word2Vec Average Then Concatinate,event,0.04480754945240449,0.039736000747440464,1.0
gigantic/0.15,Word2Vec Average Then Concatinate,trace,0.18882396103704818,0.142949784496588,1.0
gigantic/0.2,One Hot,attribute,0.019342574827029654,0.011861907423291778,2.0
gigantic/0.2,One Hot,event,0.04177990473204584,0.03958529168789034,2.0
gigantic/0.2,One Hot,trace,0.21066099592949727,0.13779755835406868,2.0
gigantic/0.2,Word2Vec Average Then Concatinate,attribute,0.02341611860774598,0.00927129389456393,1.0
gigantic/0.2,Word2Vec Average Then Concatinate,event,0.045995103551164804,0.03614651059851434,1.0
gigantic/0.2,Word2Vec Average Then Concatinate,trace,0.22299700007835535,0.14309010526176785,1.0
gigantic/0.25,One Hot,attribute,0.023036577403001197,0.01178538925594999,2.0
gigantic/0.25,One Hot,event,0.04524625989379715,0.03515480698360123,2.0
gigantic/0.25,One Hot,trace,0.22976683131492923,0.10300364358634918,2.0
gigantic/0.25,Word2Vec Average Then Concatinate,attribute,0.030272316549470567,0.009018566401954397,1.0
gigantic/0.25,Word2Vec Average Then Concatinate,event,0.055267136100033365,0.03285612649295179,1.0
gigantic/0.25,Word2Vec Average Then Concatinate,trace,0.247109843508323,0.10919276592416997,1.0
gigantic/0.3,One Hot,attribute,0.025983527107719444,0.007837012586793373,2.0
gigantic/0.3,One Hot,event,0.05003457847670032,0.029016971835129534,2.0
gigantic/0.3,One Hot,trace,0.27070410233844966,0.09762246384245359,2.0
gigantic/0.3,Word2Vec Average Then Concatinate,attribute,0.03723195383402642,0.011696440797561738,1.0
