dataset_short_name,model,level,f1_mean,f1_std,f1_rank
bpic15-0.0-1/0.05,DAE,attribute,0.04590726191665626,0.06751898226739177,1.0
bpic15-0.0-1/0.05,DAE,event,0.1472481336445412,0.21257430095547034,1.0
bpic15-0.0-1/0.05,DAE,trace,0.21791418839696647,0.2689368253385185,1.0
bpic15-0.0-1/0.1,DAE,attribute,0.050447370480310894,0.07044977578059435,1.0
bpic15-0.0-1/0.1,DAE,event,0.1533594967596659,0.21727095894736848,1.0
bpic15-0.0-1/0.1,DAE,trace,0.2284833742124416,0.25511003429562396,1.0
bpic15-0.0-1/0.15,DAE,attribute,0.052843734752763584,0.07221200845160812,1.0
bpic15-0.0-1/0.15,DAE,event,0.15900423691201623,0.2234729495294687,1.0
bpic15-0.0-1/0.15,DAE,trace,0.23921613155835708,0.2564152645865193,1.0
bpic15-0.0-1/0.2,DAE,attribute,0.061514603530063876,0.07716529417131132,1.0
bpic15-0.0-1/0.2,DAE,event,0.1702144663518859,0.22959875322893236,1.0
bpic15-0.0-1/0.2,DAE,trace,0.267701376556826,0.2511562183986142,1.0
bpic15-0.0-1/0.25,DAE,attribute,0.053552788936144714,0.0667944046526633,1.0
bpic15-0.0-1/0.25,DAE,event,0.14896138248380578,0.20226336723723412,1.0
bpic15-0.0-1/0.25,DAE,trace,0.2787369019513258,0.22979489793082328,1.0
bpic15-0.0-1/0.3,DAE,attribute,0.053616261178318934,0.06387437732992493,1.0
bpic15-0.0-1/0.3,DAE,event,0.15995922446685168,0.21601334045071463,1.0
bpic15-0.0-1/0.3,DAE,trace,0.3034739559584191,0.2296039683204985,1.0
bpic15-0.0-1/0.35,DAE,attribute,0.05868424384773914,0.06860131495602144,1.0
bpic15-0.0-1/0.35,DAE,event,0.1516206900243136,0.2016097610904872,1.0
bpic15-0.0-1/0.35,DAE,trace,0.31357048890233247,0.21739746884968333,1.0
bpic15-0.0-1/0.4,DAE,attribute,0.05132256258431247,0.0570305015605171,1.0
bpic15-0.0-1/0.4,DAE,event,0.16032127609211763,0.21566832120878293,1.0
bpic15-0.0-1/0.4,DAE,trace,0.3200844275699353,0.22250149771260638,1.0
bpic15-0.0-1/0.45,DAE,attribute,0.06481558695764968,0.07391209594668832,1.0
bpic15-0.0-1/0.45,DAE,event,0.16426562918707904,0.21960340646822207,1.0
bpic15-0.0-1/0.45,DAE,trace,0.35737954928917653,0.21835477107417875,1.0
bpic15-0.0-2/0.05,DAE,attribute,0.08603773000219458,0.12911557159998097,1.0
bpic15-0.0-2/0.05,DAE,event,0.1839100282897495,0.26457958862104214,1.0
bpic15-0.0-2/0.05,DAE,trace,0.2483883888881926,0.30267133182263994,1.0
bpic15-0.0-2/0.1,DAE,attribute,0.09697847066724677,0.1388204826321601,1.0
bpic15-0.0-2/0.1,DAE,event,0.19698816882351752,0.2777615987149083,1.0
bpic15-0.0-2/0.1,DAE,trace,0.2627204560728862,0.2809863054032998,1.0
bpic15-0.0-2/0.15,DAE,attribute,0.09231378631681372,0.12138772068036625,1.0
bpic15-0.0-2/0.15,DAE,event,0.2033041573763595,0.2839271175136147,1.0
bpic15-0.0-2/0.15,DAE,trace,0.28349208170396895,0.27023247326536926,1.0
bpic15-0.0-2/0.2,DAE,attribute,0.09752786590202832,0.13159007383705085,1.0
bpic15-0.0-2/0.2,DAE,event,0.20419970859174366,0.2766289348461776,1.0
bpic15-0.0-2/0.2,DAE,trace,0.2808237749185038,0.25448011999333725,1.0
bpic15-0.0-2/0.25,DAE,attribute,0.08360948609147226,0.11814663631533646,1.0
bpic15-0.0-2/0.25,DAE,event,0.18834866925881077,0.25907397815607813,1.0
bpic15-0.0-2/0.25,DAE,trace,0.30356504336226775,0.2421987709085504,1.0
bpic15-0.0-2/0.3,DAE,attribute,0.0989703060471929,0.13427446110447785,1.0
bpic15-0.0-2/0.3,DAE,event,0.19520861904897055,0.26972469461517645,1.0
bpic15-0.0-2/0.3,DAE,trace,0.29579016098525823,0.2366847409320202,1.0
bpic15-0.0-2/0.35,DAE,attribute,0.0931222337649186,0.12362458523947825,1.0
bpic15-0.0-2/0.35,DAE,event,0.20328820011181606,0.28020369651300236,1.0
bpic15-0.0-2/0.35,DAE,trace,0.3251420674779935,0.23861155432544146,1.0
bpic15-0.0-2/0.4,DAE,attribute,0.08634270907706476,0.1083930528118064,1.0
bpic15-0.0-2/0.4,DAE,event,0.1972081957630446,0.26641316865839465,1.0
bpic15-0.0-2/0.4,DAE,trace,0.36121481743176753,0.2150596548624894,1.0
bpic15-0.0-2/0.45,DAE,attribute,0.07893229394128846,0.1029901464015491,1.0
bpic15-0.0-2/0.45,DAE,event,0.18339008710464974,0.253452614982539,1.0
bpic15-0.0-2/0.45,DAE,trace,0.3525502194243316,0.2224368944260339,1.0
bpic15-0.0-3/0.05,DAE,attribute,0.05041332347215904,0.07551654870702071,1.0
bpic15-0.0-3/0.05,DAE,event,0.13114247653336233,0.18749567845324822,1.0
bpic15-0.0-3/0.05,DAE,trace,0.20939535426110742,0.2562762756739572,1.0
bpic15-0.0-3/0.1,DAE,attribute,0.05677168493180193,0.08318666692989524,1.0
bpic15-0.0-3/0.1,DAE,event,0.14356900081760793,0.20207017271492023,1.0
bpic15-0.0-3/0.1,DAE,trace,0.21328245025928105,0.24745106937493838,1.0
bpic15-0.0-3/0.15,DAE,attribute,0.06047393496032671,0.08316449267472813,1.0
bpic15-0.0-3/0.15,DAE,event,0.14611395962394003,0.20040039661613218,1.0
bpic15-0.0-3/0.15,DAE,trace,0.24190424000022331,0.23336344354683786,1.0
bpic15-0.0-3/0.2,DAE,attribute,0.05857592274911668,0.07640897316202953,1.0
bpic15-0.0-3/0.2,DAE,event,0.15248060558407794,0.20485600841955906,1.0
bpic15-0.0-3/0.2,DAE,trace,0.2521509818375417,0.2334933829075038,1.0
bpic15-0.0-3/0.25,DAE,attribute,0.05851570655134103,0.07788970082006383,1.0
bpic15-0.0-3/0.25,DAE,event,0.14410770183076008,0.19716805444675273,1.0
bpic15-0.0-3/0.25,DAE,trace,0.27851501491483543,0.22858222504905615,1.0
bpic15-0.0-3/0.3,DAE,attribute,0.0707804402149952,0.09353531613836874,1.0
bpic15-0.0-3/0.3,DAE,event,0.15593425133912536,0.21245541126064052,1.0
bpic15-0.0-3/0.3,DAE,trace,0.2860964166378895,0.22908124937795066,1.0
bpic15-0.0-3/0.35,DAE,attribute,0.06417130974273924,0.0801413167151628,1.0
bpic15-0.0-3/0.35,DAE,event,0.15795158946429508,0.21238203474187634,1.0
bpic15-0.0-3/0.35,DAE,trace,0.31005673059974725,0.21309929083909301,1.0
bpic15-0.0-3/0.4,DAE,attribute,0.06324626725315945,0.07346232313823624,1.0
bpic15-0.0-3/0.4,DAE,event,0.16532405365561081,0.2144902033734693,1.0
bpic15-0.0-3/0.4,DAE,trace,0.31546259747240213,0.22377097750929198,1.0
