dataset_short_name,model,level,f1_mean,f1_std,f1_rank
gigantic/0.45,transformer_event_pos_enc_false,attribute,0.08568069710601593,0.030212731115824072,1.0
gigantic/0.45,transformer_event_pos_enc_false,event,0.11938287564721173,0.027281555627967705,1.0
gigantic/0.45,transformer_event_pos_enc_false,trace,0.38496127006865294,0.07984925649927345,1.0
gigantic/0.45,transformer_event_pos_enc_true,attribute,0.08435687903951528,0.02911914345864623,2.0
gigantic/0.45,transformer_event_pos_enc_true,event,0.1182240128764744,0.027800456365496735,2.0
gigantic/0.45,transformer_event_pos_enc_true,trace,0.3763696142854213,0.07573214886707141,2.0
huge/0.45,transformer_event_pos_enc_false,attribute,0.0905236760221681,0.060077595107575266,1.0
huge/0.45,transformer_event_pos_enc_false,event,0.12308174718913788,0.0444847361698152,1.0
huge/0.45,transformer_event_pos_enc_false,trace,0.42491399232556937,0.0987542950798259,1.0
huge/0.45,transformer_event_pos_enc_true,attribute,0.08797539580813389,0.05640272530203773,2.0
huge/0.45,transformer_event_pos_enc_true,event,0.12060464294817562,0.04141893047770119,2.0
huge/0.45,transformer_event_pos_enc_true,trace,0.41988241059251924,0.09286567509048155,2.0
large/0.45,transformer_event_pos_enc_false,attribute,0.08759425519688652,0.0772246644924969,1.0
large/0.45,transformer_event_pos_enc_false,event,0.11631238537335951,0.062341814098002706,1.0
large/0.45,transformer_event_pos_enc_false,trace,0.4003752312839158,0.0900323904750705,1.0
large/0.45,transformer_event_pos_enc_true,attribute,0.08491437381421939,0.07362410880144325,2.0
large/0.45,transformer_event_pos_enc_true,event,0.11319924831770094,0.05882816237608553,2.0
large/0.45,transformer_event_pos_enc_true,trace,0.39734432384681856,0.08422392748224791,2.0
p2p/0.45,transformer_event_pos_enc_false,attribute,0.09905481466036058,0.05644021783898465,1.0
p2p/0.45,transformer_event_pos_enc_false,event,0.13483119010439304,0.041187633368152676,1.0
p2p/0.45,transformer_event_pos_enc_false,trace,0.42757003552326617,0.07832732506379453,1.0
p2p/0.45,transformer_event_pos_enc_true,attribute,0.09756015031210907,0.056470016332445104,2.0
p2p/0.45,transformer_event_pos_enc_true,event,0.13326564201609062,0.04067386843056759,2.0
p2p/0.45,transformer_event_pos_enc_true,trace,0.42445133364922855,0.076418846948903,2.0
small/0.45,transformer_event_pos_enc_false,attribute,0.0993799091741709,0.07137745734778257,1.0
small/0.45,transformer_event_pos_enc_false,event,0.13437299495149446,0.06066303037587533,1.0
small/0.45,transformer_event_pos_enc_false,trace,0.48199446819857367,0.15018558264493878,1.0
small/0.45,transformer_event_pos_enc_true,attribute,0.09888636813886205,0.0703579619698527,2.0
small/0.45,transformer_event_pos_enc_true,event,0.13401399739341716,0.06012668686756943,2.0
small/0.45,transformer_event_pos_enc_true,trace,0.4769351214082526,0.14640738765207373,2.0
wide/0.45,transformer_event_pos_enc_false,attribute,0.09923349980953532,0.05850063475134024,1.0
wide/0.45,transformer_event_pos_enc_false,event,0.13334827582014885,0.038966411040089764,1.0
wide/0.45,transformer_event_pos_enc_false,trace,0.42659956989391307,0.10251567871690134,1.0
wide/0.45,transformer_event_pos_enc_true,attribute,0.09578685266657512,0.05481460539640042,2.0
wide/0.45,transformer_event_pos_enc_true,event,0.13110474279242545,0.03522629448600945,2.0
wide/0.45,transformer_event_pos_enc_true,trace,0.4198635412056107,0.09320337429816983,2.0
gigantic/0.45,transformer_event_pos_enc_false,combined,0.19667494760729354,0.14474699946417377,1.0
gigantic/0.45,transformer_event_pos_enc_true,combined,0.192983502067137,0.1407274892619232,2.0
huge/0.45,transformer_event_pos_enc_false,combined,0.21283980517895845,0.16772982383828183,1.0
huge/0.45,transformer_event_pos_enc_true,combined,0.20948748311627624,0.16491604642712962,2.0
large/0.45,transformer_event_pos_enc_false,combined,0.20142729061805395,0.1616795139333786,1.0
large/0.45,transformer_event_pos_enc_true,combined,0.19848598199291295,0.15967180442634457,2.0
p2p/0.45,transformer_event_pos_enc_false,combined,0.22048534676267326,0.16042629861046578,1.0
p2p/0.45,transformer_event_pos_enc_true,combined,0.21842570865914274,0.15939179678896964,2.0
small/0.45,transformer_event_pos_enc_false,combined,0.23858245744141296,0.20131506330248422,1.0
small/0.45,transformer_event_pos_enc_true,combined,0.2366118289801773,0.19835071816091884,2.0
wide/0.45,transformer_event_pos_enc_false,combined,0.21972711517453242,0.164513707745463,1.0
wide/0.45,transformer_event_pos_enc_true,combined,0.21558504555487043,0.16043469590615841,2.0
