dataset_short_name,categorical_encoding,level,f1_mean,f1_std,f1_rank
gigantic/0.05,Tokenizer,attribute,0.03946444781863551,0.03182898605547906,1.0
gigantic/0.05,Tokenizer,event,0.053919629742690635,0.05571053409391289,1.0
gigantic/0.05,Tokenizer,trace,0.19313078956637855,0.19147246712599042,1.0
gigantic/0.1,Tokenizer,attribute,0.0433217812762695,0.03493788054266085,1.0
gigantic/0.1,Tokenizer,event,0.055677711056225716,0.04948220385971087,1.0
gigantic/0.1,Tokenizer,trace,0.2183495138772353,0.1526663548147127,1.0
gigantic/0.15,Tokenizer,attribute,0.04635698726728162,0.03774177626634776,1.0
gigantic/0.15,Tokenizer,event,0.06593071523954637,0.048651450106208784,1.0
gigantic/0.15,Tokenizer,trace,0.24664699339815277,0.13133033752568168,1.0
gigantic/0.2,Tokenizer,attribute,0.05111344783397663,0.03984660099220651,1.0
gigantic/0.2,Tokenizer,event,0.07247536348892161,0.05861530398740145,1.0
gigantic/0.2,Tokenizer,trace,0.2837451227453398,0.1638596723468925,1.0
gigantic/0.25,Tokenizer,attribute,0.060326826731476706,0.043479329192937725,1.0
gigantic/0.25,Tokenizer,event,0.08017103674847441,0.05293800930606203,1.0
gigantic/0.25,Tokenizer,trace,0.3017703009691203,0.14837887999560065,1.0
gigantic/0.3,Tokenizer,attribute,0.06069230549590209,0.035982873525956964,1.0
gigantic/0.3,Tokenizer,event,0.09371597510788858,0.05217848222583456,1.0
gigantic/0.3,Tokenizer,trace,0.3435287815758011,0.13148655759266478,1.0
gigantic/0.35,Tokenizer,attribute,0.05852970937883148,0.02614209127834562,1.0
gigantic/0.35,Tokenizer,event,0.10526444146350074,0.04940439703116323,1.0
gigantic/0.35,Tokenizer,trace,0.34490077447572653,0.09749818901485163,1.0
gigantic/0.4,Tokenizer,attribute,0.0695664717955684,0.035639906931939754,1.0
gigantic/0.4,Tokenizer,event,0.11111321030178871,0.0536445264036295,1.0
gigantic/0.4,Tokenizer,trace,0.376611690566098,0.12329901611459382,1.0
gigantic/0.45,Tokenizer,attribute,0.08019904489873576,0.03873387891924478,1.0
gigantic/0.45,Tokenizer,event,0.12405836490988936,0.05037762825647119,1.0
gigantic/0.45,Tokenizer,trace,0.4352306164491629,0.10240807367647112,1.0
gigantic/0.05,Tokenizer,combined,0.09550495570923491,0.13531381246164348,1.0
gigantic/0.1,Tokenizer,combined,0.10578300206991018,0.12373317884897468,1.0
gigantic/0.15,Tokenizer,combined,0.11964489863499357,0.12296226502644957,1.0
gigantic/0.2,Tokenizer,combined,0.13577797802274602,0.14700230707052703,1.0
gigantic/0.25,Tokenizer,combined,0.1474227214830238,0.1444251015820952,1.0
gigantic/0.3,Tokenizer,combined,0.1659790207265306,0.1518295483693177,1.0
gigantic/0.35,Tokenizer,combined,0.1695649751060196,0.14132434876385452,1.0
gigantic/0.4,Tokenizer,combined,0.1857637908878184,0.15801948424045206,1.0
gigantic/0.45,Tokenizer,combined,0.21316267541926268,0.17284797977570726,1.0
