dataset_short_name,categorical_encoding,level,f1_mean,f1_std,f1_rank
gigantic/0.05,One Hot,attribute,0.015480881161770096,0.017110572818041313,2.0
gigantic/0.05,One Hot,event,0.04200775153145716,0.05299517075916319,2.0
gigantic/0.05,One Hot,trace,0.18714243028430377,0.18586159750943787,2.0
gigantic/0.05,Word2Vec Average Then Concatinate,attribute,0.015493083707816713,0.016813110324662782,1.0
gigantic/0.05,Word2Vec Average Then Concatinate,event,0.06213631853693841,0.0729143895064977,1.0
gigantic/0.05,Word2Vec Average Then Concatinate,trace,0.2144279295613364,0.2502720364950398,1.0
gigantic/0.1,One Hot,attribute,0.01231319993645377,0.009261205146025398,2.0
gigantic/0.1,One Hot,event,0.03643903070767273,0.033015395857446735,2.0
gigantic/0.1,One Hot,trace,0.18543367712666353,0.1508355713614567,2.0
gigantic/0.1,Word2Vec Average Then Concatinate,attribute,0.016061290868873104,0.008797246160227938,1.0
gigantic/0.1,Word2Vec Average Then Concatinate,event,0.05539204337898001,0.05852684730517178,1.0
gigantic/0.1,Word2Vec Average Then Concatinate,trace,0.2003439567667959,0.18362400001769133,1.0
gigantic/0.15,One Hot,attribute,0.018226355141361228,0.013627147902546898,2.0
gigantic/0.15,One Hot,event,0.04561723105986649,0.03734613189917496,2.0
gigantic/0.15,One Hot,trace,0.22903659133140686,0.15209740527060564,2.0
gigantic/0.15,Word2Vec Average Then Concatinate,attribute,0.020533180869553313,0.008830709636190983,1.0
gigantic/0.15,Word2Vec Average Then Concatinate,event,0.06727808203116542,0.0648874955086322,1.0
gigantic/0.15,Word2Vec Average Then Concatinate,trace,0.2327574297268546,0.1807205222207029,1.0
gigantic/0.2,One Hot,attribute,0.018111869656940352,0.010741310717654285,2.0
gigantic/0.2,One Hot,event,0.05062113120246151,0.043014388204247744,2.0
gigantic/0.2,One Hot,trace,0.2560407120984724,0.17866238769323545,2.0
gigantic/0.2,Word2Vec Average Then Concatinate,attribute,0.021836438977944125,0.008224919157353933,1.0
gigantic/0.2,Word2Vec Average Then Concatinate,event,0.06870474655476207,0.0627044173807995,1.0
gigantic/0.2,Word2Vec Average Then Concatinate,trace,0.26819074666585424,0.1884624554717539,1.0
gigantic/0.25,One Hot,attribute,0.021766231848031222,0.010870601876309104,2.0
gigantic/0.25,One Hot,event,0.058603010781655834,0.04289348877646723,2.0
gigantic/0.25,One Hot,trace,0.2839169959610632,0.15437626145876746,2.0
gigantic/0.25,Word2Vec Average Then Concatinate,attribute,0.028249580584261403,0.008062043649655494,1.0
gigantic/0.25,Word2Vec Average Then Concatinate,event,0.07904001009223767,0.05708450584083051,1.0
gigantic/0.25,Word2Vec Average Then Concatinate,trace,0.2957970565831081,0.15854453755030534,1.0
gigantic/0.3,One Hot,attribute,0.0249924515286419,0.007566250067042071,2.0
gigantic/0.3,One Hot,event,0.06332428463260838,0.03815069323964794,2.0
gigantic/0.3,One Hot,trace,0.3310945446759593,0.13579457760128655,2.0
gigantic/0.3,Word2Vec Average Then Concatinate,attribute,0.03454427716951946,0.010354169552092474,1.0
gigantic/0.3,Word2Vec Average Then Concatinate,event,0.08744710218745604,0.052369488245409,1.0
gigantic/0.3,Word2Vec Average Then Concatinate,trace,0.3355707545948214,0.15058107719835176,1.0
gigantic/0.35,One Hot,attribute,0.045423068139643696,0.02470417133307289,2.0
gigantic/0.35,One Hot,event,0.08486756474519565,0.05029266983857494,2.0
gigantic/0.35,One Hot,trace,0.3489711022085626,0.11145935727811437,2.0
gigantic/0.35,Word2Vec Average Then Concatinate,attribute,0.05476910267805171,0.01725066071259782,1.0
gigantic/0.35,Word2Vec Average Then Concatinate,event,0.11818033929244406,0.05512593468460395,1.0
gigantic/0.35,Word2Vec Average Then Concatinate,trace,0.3592326444583671,0.13011057904606013,1.0
gigantic/0.4,One Hot,attribute,0.03414789558790619,0.013519776474620814,2.0
gigantic/0.4,One Hot,event,0.07839960793887858,0.04629547831294095,2.0
gigantic/0.4,One Hot,trace,0.37326272577417985,0.1263304759869776,2.0
gigantic/0.4,Word2Vec Average Then Concatinate,attribute,0.04700316535587105,0.014570388168037513,1.0
gigantic/0.4,Word2Vec Average Then Concatinate,event,0.11236593406614159,0.05861902738229524,1.0
gigantic/0.4,Word2Vec Average Then Concatinate,trace,0.4016653748395964,0.132837089820245,1.0
gigantic/0.45,One Hot,attribute,0.040712053425044394,0.012699415844566223,2.0
gigantic/0.45,One Hot,event,0.09008678150017195,0.0438843167658998,2.0
gigantic/0.45,One Hot,trace,0.4324934502935672,0.11156814606848695,2.0
gigantic/0.45,Word2Vec Average Then Concatinate,attribute,0.054084097089900356,0.014875674595491392,1.0
gigantic/0.45,Word2Vec Average Then Concatinate,event,0.12712182701710922,0.05872228738773414,1.0
gigantic/0.45,Word2Vec Average Then Concatinate,trace,0.44966168368855686,0.1155660860579411,1.0
huge/0.05,One Hot,attribute,0.012557232969285962,0.015813666752875877,2.0
huge/0.05,One Hot,event,0.04050443536941255,0.049761232459339846,2.0
huge/0.05,One Hot,trace,0.1810664234256168,0.18823779708511976,2.0
huge/0.05,Word2Vec Average Then Concatinate,attribute,0.015583601231752163,0.014448585749804928,1.0
huge/0.05,Word2Vec Average Then Concatinate,event,0.06690074260309149,0.08880627530616501,1.0
huge/0.05,Word2Vec Average Then Concatinate,trace,0.18846283921598672,0.21621326946664457,1.0
huge/0.1,One Hot,attribute,0.011540236327308818,0.009039509409567539,2.0
huge/0.1,One Hot,event,0.0405471043909265,0.040468789729947746,2.0
huge/0.1,One Hot,trace,0.22469018582499212,0.2030914323091864,2.0
huge/0.1,Word2Vec Average Then Concatinate,attribute,0.01728409811131576,0.011807799130825955,1.0
huge/0.1,Word2Vec Average Then Concatinate,event,0.060738816699551404,0.06556115418006143,1.0
huge/0.1,Word2Vec Average Then Concatinate,trace,0.2281628563801011,0.2126419622769522,1.0
huge/0.15,One Hot,attribute,0.016595330317962963,0.012161914284697381,2.0
huge/0.15,One Hot,event,0.047211037495931314,0.04655237338407545,2.0
huge/0.15,One Hot,trace,0.22803106617594454,0.16402312095741514,2.0
huge/0.15,Word2Vec Average Then Concatinate,attribute,0.0236498700331937,0.018124144329583095,1.0
huge/0.15,Word2Vec Average Then Concatinate,event,0.0745768503103747,0.07890222955238681,1.0
huge/0.15,Word2Vec Average Then Concatinate,trace,0.23496347598859393,0.18754181976135886,1.0
huge/0.2,One Hot,attribute,0.015673189518796433,0.009029739277098003,2.0
huge/0.2,One Hot,event,0.04775851127177402,0.04331625003682135,2.0
huge/0.2,One Hot,trace,0.25000173936222003,0.182435901509242,2.0
huge/0.2,Word2Vec Average Then Concatinate,attribute,0.022499999293175508,0.009580706659764423,1.0
huge/0.2,Word2Vec Average Then Concatinate,event,0.0740394739801109,0.07078741095917183,1.0
huge/0.2,Word2Vec Average Then Concatinate,trace,0.2659590571405372,0.19034037499469178,1.0
huge/0.25,One Hot,attribute,0.02197190042044797,0.008591376110077365,2.0
huge/0.25,One Hot,event,0.051511784420501305,0.03504156096146287,2.0
huge/0.25,One Hot,trace,0.27078679348952084,0.13090862863596328,2.0
huge/0.25,Word2Vec Average Then Concatinate,attribute,0.027111291002708243,0.007385777803523129,1.0
huge/0.25,Word2Vec Average Then Concatinate,event,0.0787607438710179,0.058937578536874945,1.0
huge/0.25,Word2Vec Average Then Concatinate,trace,0.2866996616798278,0.1496977319200996,1.0
huge/0.3,One Hot,attribute,0.02376011575999186,0.0099196128717714,2.0
huge/0.3,One Hot,event,0.0589528724515051,0.03951047950175636,2.0
huge/0.3,One Hot,trace,0.30496582712067927,0.146066059976115,2.0
huge/0.3,Word2Vec Average Then Concatinate,attribute,0.032015566735095466,0.009951016531309746,1.0
huge/0.3,Word2Vec Average Then Concatinate,event,0.08460299199375415,0.060000400149431206,1.0
huge/0.3,Word2Vec Average Then Concatinate,trace,0.32635395440012693,0.15490180717848032,1.0
huge/0.35,One Hot,attribute,0.027313197490266332,0.009401011049061376,2.0
huge/0.35,One Hot,event,0.06444213464521088,0.03792962317806557,2.0
huge/0.35,One Hot,trace,0.33787245550342043,0.13480177399495524,2.0
huge/0.35,Word2Vec Average Then Concatinate,attribute,0.04417257528803875,0.018894439727200882,1.0
huge/0.35,Word2Vec Average Then Concatinate,event,0.09699379991281307,0.05675113363202186,1.0
huge/0.35,Word2Vec Average Then Concatinate,trace,0.3483483965521618,0.13299235458580125,1.0
huge/0.4,One Hot,attribute,0.028617953505114792,0.009663313135247327,2.0
huge/0.4,One Hot,event,0.06591392507216728,0.03526746378850495,2.0
huge/0.4,One Hot,trace,0.3773884666725451,0.12928885154985487,2.0
huge/0.4,Word2Vec Average Then Concatinate,attribute,0.03725152118440282,0.01504679353424297,1.0
huge/0.4,Word2Vec Average Then Concatinate,event,0.08921892658905548,0.04746738481477599,1.0
huge/0.4,Word2Vec Average Then Concatinate,trace,0.3860215721813217,0.12986196005446096,1.0
huge/0.45,One Hot,attribute,0.033217491956388207,0.010987214408085972,2.0
huge/0.45,One Hot,event,0.07996613414741932,0.0432771275877491,2.0
huge/0.45,One Hot,trace,0.4229647805506243,0.13539375704917683,2.0
huge/0.45,Word2Vec Average Then Concatinate,attribute,0.04736041347543028,0.014488424059596564,1.0
huge/0.45,Word2Vec Average Then Concatinate,event,0.11147521905691998,0.05773208340367204,1.0
