model,level,rank_mean,rank_std,f1_mean,f1_std
transformer-Offline,attribute,1.0,0.0,0.08,0.0
transformer-oa-offline,attribute,2.0,0.0,0.07,0.0
transformer-Online,attribute,3.0,0.0,0.07,0.0
transformer-oa-online,attribute,4.0,0.0,0.06,0.0
DAE-Online,attribute,5.0,0.0,0.03,0.0
DAE-Offline,attribute,6.0,0.0,0.03,0.0
transformer-Offline,combined,1.0,0.0,0.19,0.0
transformer-Online,combined,2.0,0.0,0.18,0.0
transformer-oa-offline,combined,3.0,0.0,0.17,0.0
transformer-oa-online,combined,4.0,0.0,0.16,0.0
DAE-Online,combined,5.0,0.0,0.12,0.0
DAE-Offline,combined,6.0,0.0,0.12,0.0
transformer-Offline,event,1.0,0.0,0.09,0.0
transformer-Online,event,2.0,0.0,0.08,0.0
DAE-Online,event,3.0,0.0,0.08,0.0
transformer-oa-offline,event,4.0,0.0,0.08,0.0
transformer-oa-online,event,5.0,0.0,0.07,0.0
DAE-Offline,event,6.0,0.0,0.07,0.0
transformer-Offline,trace,1.0,0.0,0.42,0.0
transformer-Online,trace,2.0,0.0,0.38,0.0
transformer-oa-offline,trace,3.0,0.0,0.37,0.0
transformer-oa-online,trace,4.0,0.0,0.33,0.0
DAE-Online,trace,5.0,0.0,0.25,0.0
DAE-Offline,trace,6.0,0.0,0.25,0.0
