dataset_short_name,model,level,f1_mean,f1_std,f1_rank
gigantic/0.05,COMB (1),attribute,0.0021749817510092807,0.0,3.5
gigantic/0.05,COMB (1),event,0.015566735720627403,0.0,3.5
gigantic/0.05,COMB (1),trace,0.057498057498057496,0.0,3.5
gigantic/0.05,COMB (20),attribute,0.0021749817510092807,0.0,3.5
gigantic/0.05,COMB (20),event,0.015566735720627403,0.0,3.5
gigantic/0.05,COMB (20),trace,0.057498057498057496,0.0,3.5
gigantic/0.05,MP-Former (Offline),attribute,0.04683418409903071,0.004389596759428213,1.0
gigantic/0.05,MP-Former (Offline),event,0.023879191130253597,0.0019615115744876354,1.0
gigantic/0.05,MP-Former (Offline),trace,0.11400234073377837,0.010660696586460506,1.0
gigantic/0.05,MP-Former (Online),attribute,0.030470967352422607,0.002141885083184931,2.0
gigantic/0.05,MP-Former (Online),event,0.01887645701308269,0.0018961137375325915,2.0
gigantic/0.05,MP-Former (Online),trace,0.08442239629373327,0.01164941009749744,2.0
gigantic/0.1,COMB (1),attribute,0.003791787659891046,0.0,3.5
gigantic/0.1,COMB (1),event,0.028349293638001326,0.0,2.5
gigantic/0.1,COMB (1),trace,0.12312312312312312,0.0,3.5
gigantic/0.1,COMB (20),attribute,0.003791787659891046,0.0,3.5
gigantic/0.1,COMB (20),event,0.028349293638001326,0.0,2.5
gigantic/0.1,COMB (20),trace,0.12312312312312312,0.0,3.5
gigantic/0.1,MP-Former (Offline),attribute,0.05335033197919831,0.0016715209412827155,1.0
gigantic/0.1,MP-Former (Offline),event,0.03902085004391522,0.0033623931183906827,1.0
gigantic/0.1,MP-Former (Offline),trace,0.205385596031867,0.015586717234667051,1.0
gigantic/0.1,MP-Former (Online),attribute,0.037276306599698265,0.002981779398654223,2.0
gigantic/0.1,MP-Former (Online),event,0.027673122782308213,0.0013452897360191596,4.0
gigantic/0.1,MP-Former (Online),trace,0.1486758118041933,0.0037599224504527733,2.0
gigantic/0.15,COMB (1),attribute,0.006374228412339432,0.0,3.5
gigantic/0.15,COMB (1),event,0.04656265236470015,0.0,1.5
gigantic/0.15,COMB (1),trace,0.1968986657050126,0.0,2.5
gigantic/0.15,COMB (20),attribute,0.006374228412339432,0.0,3.5
gigantic/0.15,COMB (20),event,0.04656265236470015,0.0,1.5
gigantic/0.15,COMB (20),trace,0.1968986657050126,0.0,2.5
gigantic/0.15,MP-Former (Offline),attribute,0.05012778555102282,0.0002879430579567491,1.0
gigantic/0.15,MP-Former (Offline),event,0.04425155754652238,0.0005064717328599347,3.0
gigantic/0.15,MP-Former (Offline),trace,0.24210671314689847,0.004983255059400153,1.0
gigantic/0.15,MP-Former (Online),attribute,0.0417942610022626,0.0006397628762409812,2.0
gigantic/0.15,MP-Former (Online),event,0.03809028902994198,0.0012928174439538578,4.0
gigantic/0.15,MP-Former (Online),trace,0.19538374385423588,0.008248957128338731,4.0
gigantic/0.2,COMB (1),attribute,0.007517254928206113,0.0,3.5
gigantic/0.2,COMB (1),event,0.055495859933000456,0.0,1.5
gigantic/0.2,COMB (1),trace,0.25327510917030566,0.0,2.5
gigantic/0.2,COMB (20),attribute,0.007517254928206113,0.0,3.5
gigantic/0.2,COMB (20),event,0.055495859933000456,0.0,1.5
gigantic/0.2,COMB (20),trace,0.25327510917030566,0.0,2.5
gigantic/0.2,MP-Former (Offline),attribute,0.06422029055662157,0.0007181432083362712,1.0
gigantic/0.2,MP-Former (Offline),event,0.046791572507780856,0.0021180903165612147,3.0
gigantic/0.2,MP-Former (Offline),trace,0.28114349512418974,0.003822801837334494,1.0
gigantic/0.2,MP-Former (Online),attribute,0.05019226676056506,0.0010461657589971637,2.0
gigantic/0.2,MP-Former (Online),event,0.041284963223578205,0.0020993379847260457,4.0
gigantic/0.2,MP-Former (Online),trace,0.22399742140441506,0.00674986714524533,4.0
gigantic/0.25,COMB (1),attribute,0.011097092899282108,0.0,3.5
gigantic/0.25,COMB (1),event,0.07965171141803208,0.0,1.5
gigantic/0.25,COMB (1),trace,0.32439678284182305,0.0,1.5
gigantic/0.25,COMB (20),attribute,0.011097092899282108,0.0,3.5
gigantic/0.25,COMB (20),event,0.07965171141803208,0.0,1.5
gigantic/0.25,COMB (20),trace,0.32439678284182305,0.0,1.5
gigantic/0.25,MP-Former (Offline),attribute,0.061910319954197705,0.0011918470036315113,1.0
gigantic/0.25,MP-Former (Offline),event,0.058935186701155086,0.000618654448500813,3.0
gigantic/0.25,MP-Former (Offline),trace,0.2526909474302366,0.0012054276361598895,3.0
gigantic/0.25,MP-Former (Online),attribute,0.051424694190424176,0.0025276836061920616,2.0
gigantic/0.25,MP-Former (Online),event,0.04820915566358752,0.001911389202080967,4.0
gigantic/0.25,MP-Former (Online),trace,0.22006999032059285,0.0038131904754059556,4.0
gigantic/0.3,COMB (1),attribute,0.014924829489059072,0.0,3.5
gigantic/0.3,COMB (1),event,0.1051739498902627,0.0,1.5
gigantic/0.3,COMB (1),trace,0.3816151480822139,0.0,1.5
gigantic/0.3,COMB (20),attribute,0.014924829489059072,0.0,3.5
gigantic/0.3,COMB (20),event,0.1051739498902627,0.0,1.5
gigantic/0.3,COMB (20),trace,0.3816151480822139,0.0,1.5
gigantic/0.3,MP-Former (Offline),attribute,0.06583752489152933,0.0003142632922517311,1.0
gigantic/0.3,MP-Former (Offline),event,0.06945714559000493,0.00014869413796785404,3.0
gigantic/0.3,MP-Former (Offline),trace,0.31258673545336557,0.0011105980334056363,3.0
gigantic/0.3,MP-Former (Online),attribute,0.05330388696455502,0.0006452092482153301,2.0
gigantic/0.3,MP-Former (Online),event,0.06419148040834437,0.001509069761921959,4.0
gigantic/0.3,MP-Former (Online),trace,0.2854371703265069,0.0042095063918185256,4.0
gigantic/0.35,COMB (1),attribute,0.023701200666320615,0.0,3.5
gigantic/0.35,COMB (1),event,0.1555316319422456,0.0,1.5
gigantic/0.35,COMB (1),trace,0.42022116903633494,0.0,1.5
gigantic/0.35,COMB (20),attribute,0.023701200666320615,0.0,3.5
gigantic/0.35,COMB (20),event,0.1555316319422456,0.0,1.5
gigantic/0.35,COMB (20),trace,0.42022116903633494,0.0,1.5
gigantic/0.35,MP-Former (Offline),attribute,0.03928150630811015,0.0003869451043482667,1.0
gigantic/0.35,MP-Former (Offline),event,0.07474706829393139,0.0010411517168089624,3.0
gigantic/0.35,MP-Former (Offline),trace,0.339389614824158,0.0023610108021310332,3.0
gigantic/0.35,MP-Former (Online),attribute,0.037649888654088574,0.0004851130213799285,2.0
gigantic/0.35,MP-Former (Online),event,0.07229217426926014,0.0009307889768614785,4.0
gigantic/0.35,MP-Former (Online),trace,0.31761296587458093,0.0005937314225987032,4.0
gigantic/0.4,COMB (1),attribute,0.022128261695735212,0.0,3.5
gigantic/0.4,COMB (1),event,0.15257188783711376,0.0,1.5
gigantic/0.4,COMB (1),trace,0.49102157839142907,0.0,1.5
gigantic/0.4,COMB (20),attribute,0.022128261695735212,0.0,3.5
gigantic/0.4,COMB (20),event,0.15257188783711376,0.0,1.5
gigantic/0.4,COMB (20),trace,0.49102157839142907,0.0,1.5
gigantic/0.4,MP-Former (Offline),attribute,0.06407876610358233,0.0005182533100112292,1.0
gigantic/0.4,MP-Former (Offline),event,0.08144103869578813,0.0007311791283176796,3.0
gigantic/0.4,MP-Former (Offline),trace,0.32353739348921406,0.0026011318984205784,3.0
gigantic/0.4,MP-Former (Online),attribute,0.056232096200075556,0.00047244140648036026,2.0
gigantic/0.4,MP-Former (Online),event,0.07749636508453024,0.0007961045538190649,4.0
gigantic/0.4,MP-Former (Online),trace,0.30221243189575836,0.0022638357947405404,4.0
gigantic/0.45,COMB (1),attribute,0.025662684175694034,0.0,3.5
gigantic/0.45,COMB (1),event,0.17039218850871532,0.0,1.5
gigantic/0.45,COMB (1),trace,0.547145140200494,0.0,1.5
gigantic/0.45,COMB (20),attribute,0.025662684175694034,0.0,3.5
gigantic/0.45,COMB (20),event,0.17039218850871532,0.0,1.5
gigantic/0.45,COMB (20),trace,0.547145140200494,0.0,1.5
gigantic/0.45,MP-Former (Offline),attribute,0.08076652037027786,0.00014798619081350154,1.0
gigantic/0.45,MP-Former (Offline),event,0.10293650758465671,0.0001607084169806201,3.0
gigantic/0.45,MP-Former (Offline),trace,0.44618839801518023,0.0015975156607772056,3.0
gigantic/0.45,MP-Former (Online),attribute,0.07164952519274871,0.000900178234619826,2.0
gigantic/0.45,MP-Former (Online),event,0.09938059308905765,0.002804024565733409,4.0
gigantic/0.45,MP-Former (Online),trace,0.40935420956234947,0.0030803920602874716,4.0
p2p/0.05,COMB (1),attribute,0.0014301496090638945,0.0,3.5
p2p/0.05,COMB (1),event,0.011629888387151741,0.0,3.5
p2p/0.05,COMB (1),trace,0.06088811324413418,0.0,3.5
p2p/0.05,COMB (20),attribute,0.0014301496090638945,0.0,3.5
p2p/0.05,COMB (20),event,0.011629888387151741,0.0,3.5
p2p/0.05,COMB (20),trace,0.06088811324413418,0.0,3.5
p2p/0.05,MP-Former (Offline),attribute,0.06704930455351464,0.0018529807690418133,1.0
p2p/0.05,MP-Former (Offline),event,0.05029020898738932,0.0013809280417065774,1.0
p2p/0.05,MP-Former (Offline),trace,0.3889703898578114,0.011238686774067919,1.0
p2p/0.05,MP-Former (Online),attribute,0.05626737942038771,0.002594011981283128,2.0
p2p/0.05,MP-Former (Online),event,0.04230335608288013,0.005435217993849312,2.0
p2p/0.05,MP-Former (Online),trace,0.29331851482677007,0.009092270387013515,2.0
p2p/0.1,COMB (1),attribute,0.0035110027233994103,0.0,3.5
p2p/0.1,COMB (1),event,0.02685923286129607,0.0,3.5
p2p/0.1,COMB (1),trace,0.13814932042450195,0.0,3.5
p2p/0.1,COMB (20),attribute,0.0035110027233994103,0.0,3.5
p2p/0.1,COMB (20),event,0.02685923286129607,0.0,3.5
p2p/0.1,COMB (20),trace,0.13814932042450195,0.0,3.5
p2p/0.1,MP-Former (Offline),attribute,0.059328656057787005,0.00041069231475314444,1.0
p2p/0.1,MP-Former (Offline),event,0.040134629099087785,0.001400087413617642,1.0
p2p/0.1,MP-Former (Offline),trace,0.39256430868937525,0.0067071138475524985,1.0
p2p/0.1,MP-Former (Online),attribute,0.055275306664738406,0.0017654062402395353,2.0
p2p/0.1,MP-Former (Online),event,0.0365679581098955,0.003569227517125136,2.0
p2p/0.1,MP-Former (Online),trace,0.33012449735251137,0.007203504501001406,2.0
p2p/0.15,COMB (1),attribute,0.004836913633571898,0.0,3.5
p2p/0.15,COMB (1),event,0.03683379958396098,0.0,3.5
p2p/0.15,COMB (1),trace,0.1929887965305385,0.0,3.5
p2p/0.15,COMB (20),attribute,0.004836913633571898,0.0,3.5
p2p/0.15,COMB (20),event,0.03683379958396098,0.0,3.5
