level&model&rank_Average&rank_Order&rank_Attribute&rank_Arrival Time&rank_Workload
trace&Arrival Time (2)&4.33&10.75&6.83&3.67&4.83
trace&Arrival Time (4)&4.5&9.92&5.17&2.67&6.33
trace&Arrival Time Only&14.0&7.33&13.33&9.83&14.0
trace&Attribute (2)&8.5&8.92&8.33&7.5&7.5
trace&Attribute (4)&8.33&11.08&7.0&7.67&8.5
trace&Attribute (8)&5.5&10.0&6.0&5.0&6.67
trace&Attribute Only&12.33&6.17&8.67&11.67&13.67
trace&Order (2)&5.67&6.75&2.83&8.0&7.83
trace&Order (4)&7.83&5.83&4.83&7.5&8.83
trace&Order (8)&10.17&6.5&9.17&9.5&10.83
trace&Order Only&15.0&6.33&14.67&11.83&14.33
trace&Workload (2)&2.83&7.5&6.0&5.0&2.33
trace&Workload (4)&4.0&8.92&5.17&8.17&3.17
trace&Workload (8)&4.33&8.33&8.0&7.5&3.17
trace&Workload Only&12.67&5.67&14.0&14.5&8.0
event&Arrival Time (2)&6.83&8.5&9.0&6.5&6.33
event&Arrival Time (4)&5.33&8.5&7.0&7.67&5.17
event&Arrival Time Only&14.0&7.83&11.5&10.83&11.67
event&Attribute (2)&8.83&8.67&7.5&8.5&8.33
event&Attribute (4)&8.67&9.83&8.67&7.5&7.33
event&Attribute (8)&9.33&10.67&8.33&6.83&9.0
event&Attribute Only&13.33&8.0&7.0&9.17&14.5
event&Order (2)&5.33&8.0&5.17&6.83&9.33
event&Order (4)&5.0&5.17&6.67&9.33&6.83
event&Order (8)&6.83&5.33&6.17&9.83&8.17
event&Order Only&14.17&5.33&12.17&10.17&13.67
event&Workload (2)&3.67&8.0&5.83&4.5&6.0
event&Workload (4)&4.33&7.5&5.17&6.33&6.17
event&Workload (8)&3.67&10.83&7.5&5.0&3.5
event&Workload Only&10.67&7.83&12.33&11.0&4.0
attribute&Arrival Time (2)&8.33&8.67&11.5&6.5&6.5
attribute&Arrival Time (4)&6.0&5.5&7.17&7.67&7.5
attribute&Arrival Time Only&14.5&13.83&12.17&10.83&11.67
attribute&Attribute (2)&8.67&9.67&7.5&8.5&8.0
attribute&Attribute (4)&10.17&11.33&6.83&7.5&7.83
attribute&Attribute (8)&8.67&10.17&7.33&6.83&7.83
attribute&Attribute Only&14.17&13.83&8.17&9.17&14.67
attribute&Order (2)&3.83&3.17&6.17&6.83&8.83
attribute&Order (4)&2.5&2.33&6.33&9.33&7.33
attribute&Order (8)&3.17&2.5&5.5&9.83&10.0
attribute&Order Only&12.17&3.5&11.83&10.17&11.67
attribute&Workload (2)&6.33&6.5&7.17&4.5&6.33
attribute&Workload (4)&4.17&6.0&5.0&6.33&5.83
attribute&Workload (8)&6.0&8.67&5.33&5.0&3.17
attribute&Workload Only&11.33&14.33&12.0&11.0&2.83
combined&Arrival Time (2)&5.83&9.33&7.17&3.67&5.17
combined&Arrival Time (4)&4.5&6.67&5.67&3.33&5.83
combined&Arrival Time Only&14.33&12.17&13.33&11.67&13.83
combined&Attribute (2)&9.33&9.5&7.83&7.67&8.0
combined&Attribute (4)&9.17&11.67&7.0&8.0&8.5
combined&Attribute (8)&7.83&11.17&7.5&4.5&7.17
combined&Attribute Only&12.67&12.67&8.67&11.5&13.83
combined&Order (2)&4.33&3.5&3.33&8.33&8.0
combined&Order (4)&5.5&2.0&4.83&7.83&8.5
combined&Order (8)&9.17&3.0&7.5&10.0&11.17
combined&Order Only&14.17&3.0&14.67&12.0&14.33
combined&Workload (2)&2.67&6.33&5.67&4.5&3.0
combined&Workload (4)&3.5&6.0&4.67&7.33&4.0
combined&Workload (8)&4.67&9.5&8.17&7.17&3.0
combined&Workload Only&12.33&13.5&14.0&12.5&5.67
