model,level,rank_mean,rank_std,f1_mean,f1_std
transformer_order_4,attribute,3.33,1.63,0.09,0.01
transformer_order_2,attribute,3.67,2.58,0.09,0.01
transformer_workload_4,attribute,3.83,3.19,0.09,0.01
transformer_order_8,attribute,4.67,1.75,0.09,0.01
transformer_workload_8,attribute,5.83,2.71,0.09,0.01
transformer_arrival_time_4,attribute,6.0,3.29,0.09,0.01
transformer_workload_2,attribute,6.0,2.76,0.09,0.01
transformer_arrival_time_2,attribute,7.67,2.34,0.09,0.01
transformer_attribute_2,attribute,8.17,3.82,0.09,0.01
transformer_attribute_8,attribute,8.33,3.27,0.09,0.01
transformer_attribute_4,attribute,9.83,1.83,0.09,0.01
transformer_workload_only,attribute,11.83,3.92,0.07,0.01
transformer_order_only,attribute,12.17,0.41,0.08,0.0
transformer_arrival_time_only,attribute,14.33,0.82,0.06,0.01
transformer_attribute_only,attribute,14.33,0.52,0.06,0.01
transformer_order_4,combined,1.83,1.17,0.21,0.01
transformer_order_8,combined,2.5,1.38,0.21,0.01
transformer_order_2,combined,3.5,1.97,0.21,0.01
transformer_arrival_time_4,combined,5.33,2.66,0.21,0.02
transformer_workload_2,combined,5.33,2.5,0.21,0.02
transformer_workload_4,combined,5.83,2.71,0.21,0.02
transformer_arrival_time_2,combined,7.33,2.07,0.21,0.02
transformer_attribute_8,combined,8.0,2.68,0.21,0.02
transformer_workload_8,combined,8.0,1.67,0.21,0.02
transformer_attribute_2,combined,8.67,1.21,0.21,0.02
transformer_attribute_4,combined,9.67,2.8,0.21,0.02
transformer_order_only,combined,12.17,0.41,0.19,0.01
transformer_workload_only,combined,13.17,0.98,0.17,0.01
transformer_arrival_time_only,combined,14.33,0.82,0.16,0.0
transformer_attribute_only,combined,14.33,0.52,0.16,0.01
transformer_order_4,event,3.17,1.94,0.13,0.01
transformer_order_2,event,3.5,1.87,0.13,0.01
transformer_order_8,event,3.5,2.43,0.13,0.01
transformer_workload_2,event,4.83,1.94,0.13,0.01
transformer_workload_4,event,5.0,3.22,0.13,0.01
transformer_arrival_time_4,event,5.33,1.97,0.13,0.01
transformer_workload_8,event,5.83,4.07,0.12,0.01
transformer_arrival_time_2,event,7.33,1.97,0.12,0.01
transformer_attribute_8,event,8.33,2.94,0.12,0.01
transformer_attribute_2,event,9.67,1.21,0.12,0.01
transformer_attribute_4,event,10.17,1.72,0.12,0.01
transformer_order_only,event,12.17,0.41,0.11,0.0
transformer_workload_only,event,12.5,2.35,0.1,0.01
transformer_arrival_time_only,event,14.33,0.82,0.09,0.01
transformer_attribute_only,event,14.33,0.52,0.09,0.01
transformer_order_8,trace,2.0,1.55,0.42,0.03
transformer_order_4,trace,2.33,1.51,0.42,0.03
transformer_order_2,trace,3.5,1.87,0.42,0.03
transformer_arrival_time_4,trace,5.0,1.9,0.42,0.03
transformer_workload_2,trace,5.17,2.64,0.42,0.03
transformer_arrival_time_2,trace,6.33,2.34,0.42,0.03
transformer_attribute_8,trace,7.17,1.6,0.42,0.03
transformer_workload_4,trace,7.33,1.86,0.42,0.03
transformer_attribute_2,trace,8.17,2.64,0.42,0.03
transformer_attribute_4,trace,9.33,3.2,0.42,0.03
transformer_workload_8,trace,9.67,0.82,0.42,0.03
transformer_order_only,trace,12.17,0.41,0.37,0.03
transformer_workload_only,trace,13.17,0.98,0.34,0.01
transformer_arrival_time_only,trace,14.17,0.75,0.32,0.01
transformer_attribute_only,trace,14.5,0.55,0.32,0.01
